timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531302174784,68,开始投注,200,HTTP/1.1 200,CT投注 1-1,text,true,,203,0,1000,1000,68,0,0
1531302174882,84,开始投注,200,HTTP/1.1 200,CT投注 1-97,text,true,,203,0,1000,1000,84,0,0
1531302174898,86,开始投注,200,HTTP/1.1 200,CT投注 1-13,text,true,,203,0,1000,1000,86,0,0
1531302174931,96,开始投注,200,HTTP/1.1 200,CT投注 1-94,text,true,,203,0,1000,1000,96,0,0
1531302174971,124,开始投注,200,HTTP/1.1 200,CT投注 1-26,text,true,,203,0,1000,1000,123,0,0
1531302174956,142,开始投注,200,HTTP/1.1 200,CT投注 1-219,text,true,,203,0,1000,1000,142,0,0
1531302174963,164,开始投注,200,HTTP/1.1 200,CT投注 1-9,text,true,,203,0,1000,1000,161,0,0
1531302175117,187,开始投注,200,HTTP/1.1 200,CT投注 1-74,text,true,,203,0,1000,1000,187,0,0
1531302174981,327,开始投注,200,HTTP/1.1 200,CT投注 1-46,text,true,,203,0,1000,1000,327,0,0
1531302175026,298,开始投注,200,HTTP/1.1 200,CT投注 1-172,text,true,,203,0,1000,1000,298,0,0
1531302175088,243,开始投注,200,HTTP/1.1 200,CT投注 1-159,text,true,,203,0,1000,1000,243,0,0
1531302175027,309,开始投注,200,HTTP/1.1 200,CT投注 1-112,text,true,,203,0,1000,1000,308,0,0
1531302175017,326,开始投注,200,HTTP/1.1 200,CT投注 1-2,text,true,,203,0,1000,1000,326,0,0
1531302175118,236,开始投注,200,HTTP/1.1 200,CT投注 1-199,text,true,,203,0,1000,1000,236,0,0
1531302175132,259,开始投注,200,HTTP/1.1 200,CT投注 1-34,text,true,,203,0,1000,1000,258,0,0
1531302175101,296,开始投注,200,HTTP/1.1 200,CT投注 1-106,text,true,,203,0,1000,1000,296,0,0
1531302175036,585,开始投注,200,HTTP/1.1 200,CT投注 1-253,text,true,,203,0,1000,1000,585,0,0
1531302174983,643,开始投注,200,HTTP/1.1 200,CT投注 1-218,text,true,,203,0,1000,1000,642,0,0
1531302175136,511,开始投注,200,HTTP/1.1 200,CT投注 1-183,text,true,,203,0,1000,1000,510,0,0
1531302175023,624,开始投注,200,HTTP/1.1 200,CT投注 1-185,text,true,,203,0,1000,1000,624,0,0
1531302175026,624,开始投注,200,HTTP/1.1 200,CT投注 1-87,text,true,,203,0,1000,1000,622,0,0
1531302175002,649,开始投注,200,HTTP/1.1 200,CT投注 1-19,text,true,,203,0,1000,1000,649,0,0
1531302175035,618,开始投注,200,HTTP/1.1 200,CT投注 1-193,text,true,,203,0,1000,1000,617,0,0
1531302174988,665,开始投注,200,HTTP/1.1 200,CT投注 1-51,text,true,,203,0,1000,1000,665,0,0
1531302175030,624,开始投注,200,HTTP/1.1 200,CT投注 1-54,text,true,,203,0,1000,1000,624,0,0
1531302175046,609,开始投注,200,HTTP/1.1 200,CT投注 1-241,text,true,,203,0,1000,1000,609,0,0
1531302175180,599,开始投注,200,HTTP/1.1 200,CT投注 1-83,text,true,,203,0,1000,1000,598,0,0
1531302175148,645,开始投注,200,HTTP/1.1 200,CT投注 1-188,text,true,,203,0,1000,1000,645,0,0
1531302175166,627,开始投注,200,HTTP/1.1 200,CT投注 1-105,text,true,,203,0,1000,1000,627,0,0
1531302175203,595,开始投注,200,HTTP/1.1 200,CT投注 1-355,text,true,,203,0,1000,1000,595,0,0
1531302175159,641,开始投注,200,HTTP/1.1 200,CT投注 1-153,text,true,,203,0,1000,1000,641,0,0
1531302175252,548,开始投注,200,HTTP/1.1 200,CT投注 1-90,text,true,,203,0,1000,1000,548,0,0
1531302175152,656,开始投注,200,HTTP/1.1 200,CT投注 1-100,text,true,,203,0,1000,1000,656,0,0
1531302175136,679,开始投注,200,HTTP/1.1 200,CT投注 1-64,text,true,,203,0,1000,1000,678,0,0
1531302175164,656,开始投注,200,HTTP/1.1 200,CT投注 1-212,text,true,,203,0,1000,1000,656,0,0
1531302175166,655,开始投注,200,HTTP/1.1 200,CT投注 1-310,text,true,,203,0,1000,1000,654,0,0
